2017 NAICS Code,2017 NAICS Title
336414,GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING 
336415,GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING 
336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
336510,RAILROAD ROLLING STOCK MANUFACTURING
336611,SHIP BUILDING AND REPAIRING 
336612,BOAT BUILDING 
336991,"MOTORCYCLE, BICYCLE, AND PARTS MANUFACTURING "
336992,"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING "
336999,ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING 
337110,WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING
337121,UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING 
337122,NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING 
337124,METAL HOUSEHOLD FURNITURE MANUFACTURING 
337125,HOUSEHOLD FURNITURE (EXCEPT WOOD AND METAL) MANUFACTURING 
337127,INSTITUTIONAL FURNITURE MANUFACTURING 
337211,WOOD OFFICE FURNITURE MANUFACTURING 
337212,CUSTOM ARCHITECTURAL WOODWORK AND MILLWORK MANUFACTURING 
337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING 
337215,"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING "
337910,MATTRESS MANUFACTURING
337920,BLIND AND SHADE MANUFACTURING
339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING 
339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING 
339114,DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING 
339115,OPHTHALMIC GOODS MANUFACTURING 
339116,DENTAL LABORATORIES 
339910,JEWELRY AND SILVERWARE MANUFACTURING 
339920,SPORTING AND ATHLETIC GOODS MANUFACTURING
339930,"DOLL, TOY, AND GAME MANUFACTURING"
339940,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING
339950,SIGN MANUFACTURING
339991,"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING "
339992,MUSICAL INSTRUMENT MANUFACTURING 
339993,"FASTENER, BUTTON, NEEDLE, AND PIN MANUFACTURING "
339994,"BROOM, BRUSH, AND MOP MANUFACTURING "
339995,BURIAL CASKET MANUFACTURING 
339999,ALL OTHER MISCELLANEOUS MANUFACTURING 
423110,AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS 
423120,MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS 
423130,TIRE AND TUBE MERCHANT WHOLESALERS 
423140,MOTOR VEHICLE PARTS (USED) MERCHANT WHOLESALERS 
423210,FURNITURE MERCHANT WHOLESALERS 
423220,HOME FURNISHING MERCHANT WHOLESALERS 
423310,"LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS "
423320,"BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS "
423330,"ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS "
423390,OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS 
423410,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS 
423420,OFFICE EQUIPMENT MERCHANT WHOLESALERS 
423430,COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS 
423440,OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS 
423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS "
423460,OPHTHALMIC GOODS MERCHANT WHOLESALERS 
423490,OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS 
423510,METAL SERVICE CENTERS AND OTHER METAL MERCHANT WHOLESALERS 
423520,COAL AND OTHER MINERAL AND ORE MERCHANT WHOLESALERS 
423610,"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT WHOLESALERS "
423620,"HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS "
423690,OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS 
423710,HARDWARE MERCHANT WHOLESALERS 
423720,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS 
423730,WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS 
423740,REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS 
423810,CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS 
423820,FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS 
423830,INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS 
423840,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS
423850,SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS 
423860,TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS 
423910,SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS 
423920,TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS 
423930,RECYCLABLE MATERIAL MERCHANT WHOLESALERS 
423940,"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS "
423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS 
424110,PRINTING AND WRITING PAPER MERCHANT WHOLESALERS 
424120,STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS 
424130,INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS 
424210,DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS 
424310,"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS MERCHANT WHOLESALERS "
424320,MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS 
424330,"WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS "
424340,FOOTWEAR MERCHANT WHOLESALERS 
424410,GENERAL LINE GROCERY MERCHANT WHOLESALERS 
424420,PACKAGED FROZEN FOOD MERCHANT WHOLESALERS 
424430,DAIRY PRODUCT (EXCEPT DRIED OR CANNED) MERCHANT WHOLESALERS 
424440,POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS 
424450,CONFECTIONERY MERCHANT WHOLESALERS 
424460,FISH AND SEAFOOD MERCHANT WHOLESALERS 
424470,MEAT AND MEAT PRODUCT MERCHANT WHOLESALERS 
424480,FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS 
424490,OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS 
424510,GRAIN AND FIELD BEAN MERCHANT WHOLESALERS 
424520,LIVESTOCK MERCHANT WHOLESALERS 
424590,OTHER FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS 
424610,PLASTICS MATERIALS AND BASIC FORMS AND SHAPES MERCHANT WHOLESALERS 
424690,OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS 
424710,PETROLEUM BULK STATIONS AND TERMINALS 
424720,PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS) 
424810,BEER AND ALE MERCHANT WHOLESALERS 
424820,WINE AND DISTILLED ALCOHOLIC BEVERAGE MERCHANT WHOLESALERS 
424910,FARM SUPPLIES MERCHANT WHOLESALERS 
424920,"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS "
424930,"FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES MERCHANT WHOLESALERS "
424940,TOBACCO AND TOBACCO PRODUCT MERCHANT WHOLESALERS 
424950,"PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS "
424990,OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS 
425110,BUSINESS TO BUSINESS ELECTRONIC MARKETS 
425120,WHOLESALE TRADE AGENTS AND BROKERS 
441110,NEW CAR DEALERS 
441120,USED CAR DEALERS 
441210,RECREATIONAL VEHICLE DEALERS 
441222,BOAT DEALERS 
441228,"MOTORCYCLE, ATV, AND ALL OTHER MOTOR VEHICLE DEALERS "
441310,AUTOMOTIVE PARTS AND ACCESSORIES STORES 
441320,TIRE DEALERS 
442110,FURNITURE STORES 
442210,FLOOR COVERING STORES 
442291,WINDOW TREATMENT STORES 
442299,ALL OTHER HOME FURNISHINGS STORES 
443141,HOUSEHOLD APPLIANCE STORES 
443142,ELECTRONICS STORES 
444110,HOME CENTERS 
444120,PAINT AND WALLPAPER STORES 
444130,HARDWARE STORES 
444190,OTHER BUILDING MATERIAL DEALERS 
444210,OUTDOOR POWER EQUIPMENT STORES 
444220,"NURSERY, GARDEN CENTER, AND FARM SUPPLY STORES "
445110,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES 
445120,CONVENIENCE STORES 
445210,MEAT MARKETS 
445220,FISH AND SEAFOOD MARKETS 
445230,FRUIT AND VEGETABLE MARKETS 
445291,BAKED GOODS STORES 
445292,CONFECTIONERY AND NUT STORES 
445299,ALL OTHER SPECIALTY FOOD STORES 
445310,"BEER, WINE, AND LIQUOR STORES "
446110,PHARMACIES AND DRUG STORES 
446120,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES "
446130,OPTICAL GOODS STORES 
446191,FOOD (HEALTH) SUPPLEMENT STORES 
446199,ALL OTHER HEALTH AND PERSONAL CARE STORES 
447110,GASOLINE STATIONS WITH CONVENIENCE STORES 
447190,OTHER GASOLINE STATIONS 
448110,MEN'S CLOTHING STORES 
448120,WOMEN'S CLOTHING STORES 
448130,CHILDREN'S AND INFANTS' CLOTHING STORES 
448140,FAMILY CLOTHING STORES 
448150,CLOTHING ACCESSORIES STORES 
448190,OTHER CLOTHING STORES 
448210,SHOE STORES 
448310,JEWELRY STORES 
448320,LUGGAGE AND LEATHER GOODS STORES 
451110,SPORTING GOODS STORES 
451120,"HOBBY, TOY, AND GAME STORES "
451130,"SEWING, NEEDLEWORK, AND PIECE GOODS STORES "
451140,MUSICAL INSTRUMENT AND SUPPLIES STORES 
451211,BOOK STORES 
451212,NEWS DEALERS AND NEWSSTANDS 
452210,DEPARTMENT STORES 
452311,WAREHOUSE CLUBS AND SUPERCENTERS 
452319,ALL OTHER GENERAL MERCHANDISE STORES 
453110,FLORISTS 
453210,OFFICE SUPPLIES AND STATIONERY STORES 
453220,"GIFT, NOVELTY, AND SOUVENIR STORES "
453310,USED MERCHANDISE STORES 
453910,PET AND PET SUPPLIES STORES 
453920,ART DEALERS 
453930,MANUFACTURED (MOBILE) HOME DEALERS 
453991,TOBACCO STORES 
453998,ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES) 
454110,ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES 
454210,VENDING MACHINE OPERATORS 
454310,FUEL DEALERS 
454390,OTHER DIRECT SELLING ESTABLISHMENTS 
481111,SCHEDULED PASSENGER AIR TRANSPORTATION 
481112,SCHEDULED FREIGHT AIR TRANSPORTATION 
481211,NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION 
481212,NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION 
481219,OTHER NONSCHEDULED AIR TRANSPORTATION 
482111,LINE-HAUL RAILROADS 
482112,SHORT LINE RAILROADS 
483111,DEEP SEA FREIGHT TRANSPORTATION 
483112,DEEP SEA PASSENGER TRANSPORTATION 
483113,COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION 
483114,COASTAL AND GREAT LAKES PASSENGER TRANSPORTATION 
483211,INLAND WATER FREIGHT TRANSPORTATION 
483212,INLAND WATER PASSENGER TRANSPORTATION 
484110,"GENERAL FREIGHT TRUCKING, LOCAL "
484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD "
484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD "
484210,USED HOUSEHOLD AND OFFICE GOODS MOVING
484220,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL "
484230,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LONG-DISTANCE "
485111,MIXED MODE TRANSIT SYSTEMS 
485112,COMMUTER RAIL SYSTEMS 
485113,BUS AND OTHER MOTOR VEHICLE TRANSIT SYSTEMS 
485119,OTHER URBAN TRANSIT SYSTEMS 
485210,INTERURBAN AND RURAL BUS TRANSPORTATION
485310,TAXI SERVICE 
485320,LIMOUSINE SERVICE
485410,SCHOOL AND EMPLOYEE BUS TRANSPORTATION
485510,CHARTER BUS INDUSTRY
485991,SPECIAL NEEDS TRANSPORTATION 
485999,ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION 
486110,PIPELINE TRANSPORTATION OF CRUDE OIL
486210,PIPELINE TRANSPORTATION OF NATURAL GAS
486910,PIPELINE TRANSPORTATION OF REFINED PETROLEUM PRODUCTS
486990,ALL OTHER PIPELINE TRANSPORTATION
487110,"SCENIC AND SIGHTSEEING TRANSPORTATION, LAND"
487210,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER"
487990,"SCENIC AND SIGHTSEEING TRANSPORTATION, OTHER"
488111,AIR TRAFFIC CONTROL
488119,OTHER AIRPORT OPERATIONS 
488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION
488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION
488310,PORT AND HARBOR OPERATIONS
488320,MARINE CARGO HANDLING
488330,NAVIGATIONAL SERVICES TO SHIPPING 
488390,OTHER SUPPORT ACTIVITIES FOR WATER TRANSPORTATION
488410,MOTOR VEHICLE TOWING
488490,OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION 
488510,FREIGHT TRANSPORTATION ARRANGEMENT 
488991,PACKING AND CRATING 
488999,ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION 
491110,POSTAL SERVICE
492110,COURIERS AND EXPRESS DELIVERY SERVICES
492210,LOCAL MESSENGERS AND LOCAL DELIVERY
493110,GENERAL WAREHOUSING AND STORAGE 
493120,REFRIGERATED WAREHOUSING AND STORAGE
493130,FARM PRODUCT WAREHOUSING AND STORAGE
493190,OTHER WAREHOUSING AND STORAGE
511110,NEWSPAPER PUBLISHERS 
511120,PERIODICAL PUBLISHERS 
511130,BOOK PUBLISHERS 
511140,DIRECTORY AND MAILING LIST PUBLISHERS 
511191,GREETING CARD PUBLISHERS 
511199,ALL OTHER PUBLISHERS 
511210,SOFTWARE PUBLISHERS
512110,MOTION PICTURE AND VIDEO PRODUCTION 
512120,MOTION PICTURE AND VIDEO DISTRIBUTION
512131,MOTION PICTURE THEATERS (EXCEPT DRIVE-INS) 
512132,DRIVE-IN MOTION PICTURE THEATERS 
512191,TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES 
512199,OTHER MOTION PICTURE AND VIDEO INDUSTRIES 
512230,MUSIC PUBLISHERS
512240,SOUND RECORDING STUDIOS
512250,RECORD PRODUCTION AND DISTRIBUTION
512290,OTHER SOUND RECORDING INDUSTRIES
515111,RADIO NETWORKS 
515112,RADIO STATIONS 
515120,TELEVISION BROADCASTING
515210,CABLE AND OTHER SUBSCRIPTION PROGRAMMING
517311,WIRED TELECOMMUNICATIONS CARRIERS 
517312,WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE)
517410,SATELLITE TELECOMMUNICATIONS
517911,TELECOMMUNICATIONS RESELLERS 
517919,ALL OTHER TELECOMMUNICATIONS 
518210,"DATA PROCESSING, HOSTING, AND RELATED SERVICES"
519110,NEWS SYNDICATES
519120,LIBRARIES AND ARCHIVES 
519130,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS
519190,ALL OTHER INFORMATION SERVICES
521110,MONETARY AUTHORITIES-CENTRAL BANK
522110,COMMERCIAL BANKING 
522120,SAVINGS INSTITUTIONS 
522130,CREDIT UNIONS 
522190,OTHER DEPOSITORY CREDIT INTERMEDIATION 
522210,CREDIT CARD ISSUING 
522220,SALES FINANCING 
522291,CONSUMER LENDING 
522292,REAL ESTATE CREDIT 
522293,INTERNATIONAL TRADE FINANCING 
522294,SECONDARY MARKET FINANCING 
522298,ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION 
522310,MORTGAGE AND NONMORTGAGE LOAN BROKERS 
522320,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES "
522390,OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION 
523110,INVESTMENT BANKING AND SECURITIES DEALING 
523120,SECURITIES BROKERAGE 
523130,COMMODITY CONTRACTS DEALING 
523140,COMMODITY CONTRACTS BROKERAGE 
523210,SECURITIES AND COMMODITY EXCHANGES
523910,MISCELLANEOUS INTERMEDIATION 
523920,PORTFOLIO MANAGEMENT 
523930,INVESTMENT ADVICE 
523991,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES "
523999,MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES 
524113,DIRECT LIFE INSURANCE CARRIERS 
524114,DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS 
524126,DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS 
524127,DIRECT TITLE INSURANCE CARRIERS 
524128,"OTHER DIRECT INSURANCE (EXCEPT LIFE, HEALTH, AND MEDICAL) CARRIERS "
524130,REINSURANCE CARRIERS 
524210,INSURANCE AGENCIES AND BROKERAGES 
524291,CLAIMS ADJUSTING 
524292,THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS 
524298,ALL OTHER INSURANCE RELATED ACTIVITIES 
525110,PENSION FUNDS 
525120,HEALTH AND WELFARE FUNDS 
525190,OTHER INSURANCE FUNDS 
525910,OPEN-END INVESTMENT FUNDS 
525920,"TRUSTS, ESTATES, AND AGENCY ACCOUNTS "
525990,OTHER FINANCIAL VEHICLES 
531110,LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS 
531120,LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES) 
531130,LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS 
531190,LESSORS OF OTHER REAL ESTATE PROPERTY 
531210,OFFICES OF REAL ESTATE AGENTS AND BROKERS
531311,RESIDENTIAL PROPERTY MANAGERS 
531312,NONRESIDENTIAL PROPERTY MANAGERS 
531320,OFFICES OF REAL ESTATE APPRAISERS 
531390,OTHER ACTIVITIES RELATED TO REAL ESTATE 
532111,PASSENGER CAR RENTAL 
532112,PASSENGER CAR LEASING 
532120,"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING "
532210,CONSUMER ELECTRONICS AND APPLIANCES RENTAL
532281,FORMAL WEAR AND COSTUME RENTAL
532282,VIDEO TAPE AND DISC RENTAL
532283,HOME HEALTH EQUIPMENT RENTAL 
532284,RECREATIONAL GOODS RENTAL 
532289,ALL OTHER CONSUMER GOODS RENTAL 
532310,GENERAL RENTAL CENTERS
532411,"COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING "
532412,"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING "
532420,OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING
532490,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING 
533110,LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS)
541110,OFFICES OF LAWYERS
541120,OFFICES OF NOTARIES
541191,TITLE ABSTRACT AND SETTLEMENT OFFICES 
541199,ALL OTHER LEGAL SERVICES 
541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS 
541213,TAX PREPARATION SERVICES 
541214,PAYROLL SERVICES 
541219,OTHER ACCOUNTING SERVICES 
541310,ARCHITECTURAL SERVICES
541320,LANDSCAPE ARCHITECTURAL SERVICES
541330,ENGINEERING SERVICES
541340,DRAFTING SERVICES
541350,BUILDING INSPECTION SERVICES
541360,GEOPHYSICAL SURVEYING AND MAPPING SERVICES
541370,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES
541380,TESTING LABORATORIES
541410,INTERIOR DESIGN SERVICES
541420,INDUSTRIAL DESIGN SERVICES
541430,GRAPHIC DESIGN SERVICES
541490,OTHER SPECIALIZED DESIGN SERVICES
541511,CUSTOM COMPUTER PROGRAMMING SERVICES 
541512,COMPUTER SYSTEMS DESIGN SERVICES 
541513,COMPUTER FACILITIES MANAGEMENT SERVICES 
541519,OTHER COMPUTER RELATED SERVICES
541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES 
541612,HUMAN RESOURCES CONSULTING SERVICES 
541613,MARKETING CONSULTING SERVICES 
541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES "
541618,OTHER MANAGEMENT CONSULTING SERVICES 
541620,ENVIRONMENTAL CONSULTING SERVICES
541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES
541713,RESEARCH AND DEVELOPMENT IN NANOTECHNOLOGY 
541714,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY)
541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY) "
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES 
541810,ADVERTISING AGENCIES
541820,PUBLIC RELATIONS AGENCIES
541830,MEDIA BUYING AGENCIES
541840,MEDIA REPRESENTATIVES
541850,OUTDOOR ADVERTISING
541860,DIRECT MAIL ADVERTISING
541870,ADVERTISING MATERIAL DISTRIBUTION SERVICES
541890,OTHER SERVICES RELATED TO ADVERTISING 
541910,MARKETING RESEARCH AND PUBLIC OPINION POLLING
541921,"PHOTOGRAPHY STUDIOS, PORTRAIT "
541922,COMMERCIAL PHOTOGRAPHY 
541930,TRANSLATION AND INTERPRETATION SERVICES
541940,VETERINARY SERVICES 
541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES"
551111,OFFICES OF BANK HOLDING COMPANIES 
551112,OFFICES OF OTHER HOLDING COMPANIES 
551114,"CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES "
561110,OFFICE ADMINISTRATIVE SERVICES
561210,FACILITIES SUPPORT SERVICES
561311,EMPLOYMENT PLACEMENT AGENCIES 
561312,EXECUTIVE SEARCH SERVICES 
561320,TEMPORARY HELP SERVICES
561330,PROFESSIONAL EMPLOYER ORGANIZATIONS
561410,DOCUMENT PREPARATION SERVICES
561421,TELEPHONE ANSWERING SERVICES 
561422,TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS 
561431,PRIVATE MAIL CENTERS 
561439,OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS) 
561440,COLLECTION AGENCIES
561450,CREDIT BUREAUS
561491,REPOSSESSION SERVICES 
561492,COURT REPORTING AND STENOTYPE SERVICES 
561499,ALL OTHER BUSINESS SUPPORT SERVICES 
561510,TRAVEL AGENCIES
561520,TOUR OPERATORS
561591,CONVENTION AND VISITORS BUREAUS 
561599,ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES 
561611,INVESTIGATION SERVICES 
561612,SECURITY GUARDS AND PATROL SERVICES 
561613,ARMORED CAR SERVICES 
561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS) 
561622,LOCKSMITHS 
561710,EXTERMINATING AND PEST CONTROL SERVICES
561720,JANITORIAL SERVICES 
561730,LANDSCAPING SERVICES
561740,CARPET AND UPHOLSTERY CLEANING SERVICES
561790,OTHER SERVICES TO BUILDINGS AND DWELLINGS 
561910,PACKAGING AND LABELING SERVICES
561920,CONVENTION AND TRADE SHOW ORGANIZERS
561990,ALL OTHER SUPPORT SERVICES
562111,SOLID WASTE COLLECTION 
562112,HAZARDOUS WASTE COLLECTION 
562119,OTHER WASTE COLLECTION 
562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL 
562212,SOLID WASTE LANDFILL 
562213,SOLID WASTE COMBUSTORS AND INCINERATORS 
562219,OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL 
562910,REMEDIATION SERVICES 
562920,MATERIALS RECOVERY FACILITIES 
562991,SEPTIC TANK AND RELATED SERVICES 
562998,ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES 
611110,ELEMENTARY AND SECONDARY SCHOOLS 
611210,JUNIOR COLLEGES 
611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS "
611410,BUSINESS AND SECRETARIAL SCHOOLS 
611420,COMPUTER TRAINING 
611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING 
611511,COSMETOLOGY AND BARBER SCHOOLS 
611512,FLIGHT TRAINING 
611513,APPRENTICESHIP TRAINING 
611519,OTHER TECHNICAL AND TRADE SCHOOLS 
611610,FINE ARTS SCHOOLS 
611620,SPORTS AND RECREATION INSTRUCTION 
611630,LANGUAGE SCHOOLS 
611691,EXAM PREPARATION AND TUTORING 
611692,AUTOMOBILE DRIVING SCHOOLS 
611699,ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION 
611710,EDUCATIONAL SUPPORT SERVICES
621111,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS) 
621112,"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS "
621210,OFFICES OF DENTISTS 
621310,OFFICES OF CHIROPRACTORS 
621320,OFFICES OF OPTOMETRISTS
621330,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS) 
621340,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS "
621391,OFFICES OF PODIATRISTS 
621399,OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS 
621410,FAMILY PLANNING CENTERS 
621420,OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS 
621491,HMO MEDICAL CENTERS 
621492,KIDNEY DIALYSIS CENTERS 
621493,FREESTANDING AMBULATORY SURGICAL AND EMERGENCY CENTERS 
621498,ALL OTHER OUTPATIENT CARE CENTERS 
621511,MEDICAL LABORATORIES 
621512,DIAGNOSTIC IMAGING CENTERS 
621610,HOME HEALTH CARE SERVICES
621910,AMBULANCE SERVICES 
621991,BLOOD AND ORGAN BANKS 
621999,ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES 
622110,GENERAL MEDICAL AND SURGICAL HOSPITALS 
622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS 
622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS 
623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES) 
623210,RESIDENTIAL INTELLECTUAL AND DEVELOPMENTAL DISABILITY FACILITIES 
623220,RESIDENTIAL MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES 
623311,CONTINUING CARE RETIREMENT COMMUNITIES 
